Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s5	w241	darum	darum	darum	PAV
s5	w242	besprochen	beſprochen	besprechen	VVPP
s5	w243	werden	werden	werden	VAINF
s5	w244	solle	ſolle	sollen	VMFIN
s5	w245	.	.	.	$.
s6	w246	Zu	Zu	zu	APPR
s6	w247	Urkunde	Uhrkund	Urkunde	NN
s6	w248	dessen	deſſen	die	PDS
s6	w249	haben	haben	haben	VAFIN
s6	w24a	Wir	Wir	wir	PPER
s6	w24b	diese	dieſe	diese	PDAT
s6	w24c	Unsere	Unſere	unsere	PPOSAT
s6	w24d	abermalige	abermahlige	abermalig	ADJA
s6	w24e	gnädigste	gnaͤdigſte	gnädig	ADJA
s6	w24f	Verordnung	Verordnung	Verordnung	NN
s6	w250	durch	durch	durch	APPR
s6	w251	öffentlichen	oͤffentlichen	öffentlich	ADJA
s6	w252	Druck	Druck	Druck	NN
s6	w253	unter	unter	unter	APPR
s6	w254	Unserem	Unſerm	unsere	PPOSAT
s6	w255	Hand-Zeichen	Hand-Zeichen	Hand-Zeichen	NN
s6	w256	und	und	und	KON
s6	w257	beigedruckten	beygedruckten	beigedruckt	ADJA
s6	w258	Fürstl.	Fuͤrſtl.	Fürstl.	NN
s6	w259	Geheimen	Geheimten	geheim	ADJA
s6	w25a	Cantzley-Secret	Cantzley-Secret	Cantzley-Secret	NN
s6	w25b	publizieren	publiciren	publizieren	VVFIN
s6	w25c	und	und	und	KON
s6	w25d	zu	zu	zu	APPR
s6	w25e	männigliches	maͤnnigliches	männiglich	ADJA
s6	w25f	Wissenschaft	Wiſſenſchafft	Wissenschaft	NN
s6	w260	gehöriger	gehoͤriger	gehörig	ADJA
s6	w261	Orten	Orten	Ort	NN
s6	w262	affigieren	affigiren	affigieren	VVINF
s6	w263	lassen	laſſen	lassen	VVINF
s6	w264	/	/	/	$(
s6	w265	auch	auch	auch	ADV
s6	w266	von	von	von	APPR
s6	w267	denen	denen	die	PDS
s6	w268	Kanzeln	Cantzeln	Kanzel	NN
s6	w269	abzulesen	abzuleſen	ablesen	VVIZU
s6	w26a	befohlen	befohlen	befehlen	VVPP
s6	w26b	.	.	.	$.
s7	w26c	Geben	Geben	Geben	NN
s7	w26d	in	in	in	APPR
s7	w26e	Unserer	Unſerer	unsere	PPOSAT
s7	w26f	Festung	Veſtung	Festung	NN
s7	w270	Wolfenbüttel	Wolffenbuͤttel	Wolfenbüttel	NE
s7	w271	den	den	d	ART
s7	w272	11.	11.	11.	ADJA
s7	w273	Apr.	Apr.	Apr.	NN
s7	w274	1698	1698	1698	CARD
s7	w275	.	.	.	$.
s8	w276	Rudolph	Rudolph	Rudolph	NE
s8	w277	Augusts	Auguſts	August	NE
s8	w278	.	.	.	$.
s9	w279	Anthon	Anthon	Anthon	NE
s9	w27a	Ulrich	Ulrich	Ulrich	NE
s9	w27b	.	.	.	$.
